"","Time","University","Education_type","Year","Gender","Worried_DC","Ownership","Management","Privact_Access","Privact_Control","Bias","Trust","Autonomy","Informed_Consent","Can_you_access_data","Aware_DC_by_uni","Interesting_logs","Reasons_for_DC","Worried_Access_Uni_Data","Worried_Usage_Uni_Data","Give_consent","Read_TC"
"1","2020-04-24 16.51.03","Stockholm University, Programme in Education with International and Comparative specialisation ","Advanced level (Masters and Phd study)","Year 1","Female","A bit worried (2)","Very important (4)","Very important (4)","Very important (4)","Very important (4)","Quite important (3)","Very important (4)","Quite important (3)","Very important (4)","Not sure","No","Course overview, grades, course schedule","","A bit worried (2)","A bit worried (2)","No","No"
"2","2020-04-25 16.38.13","Stockholm university, international and comparative education","Advanced level (Masters and Phd study)","Year 1","Female","A bit worried (2)","Quite important (3)","Quite important (3)","Very important (4)","Very important (4)","Not sure (5)","A bit important (2)","Quite important (3)","Very important (4)","Not sure","Not sure","grades","archive files maybe","Quite worried (3)","A bit worried (2)","Not sure","No"
"3","2020-04-25 18.50.58","SU - International and comparative education","Advanced level (Masters and Phd study)","Year 1","Female","A bit worried (2)","Very important (4)","Very important (4)","Very important (4)","Very important (4)","Quite important (3)","Quite important (3)","Quite important (3)","Very important (4)","Not sure","Not sure","all of the above ","both as statisctics and other things","A bit worried (2)","A bit worried (2)","Not sure","No"
"4","2020-04-30 14.07.27","ICE","Advanced level (Masters and Phd study)","Year 1","Male","A bit worried (2)","Very important (4)","Quite important (3)","Very important (4)","Quite important (3)","A bit important (2)","Very important (4)","Very important (4)","Very important (4)","Not sure","Not sure","Grades
Personal Review","Advertisement
Safeguarding","A bit worried (2)","A bit worried (2)","No","No"
"5","2020-05-14 14.08.33","Stockholm University's Master's program in International & Comparative Education ","Advanced level (Masters and Phd study)","Year 2","Female","A bit worried (2)","Quite important (3)","Very important (4)","Very important (4)","Very important (4)","Very important (4)","Very important (4)","Very important (4)","Very important (4)","Not sure","Not sure","Grades","Transcripts ","A bit worried (2)","Not at all worried (1)","Not sure","No"
"6","2020-05-14 17.27.01","Stockholm University - Education with International and Comparative specialisation","Advanced level (Masters and Phd study)","Year 1","Female","Quite worried (3)","Very important (4)","Quite important (3)","Very important (4)","Very important (4)","Very important (4)","Very important (4)","Very important (4)","Very important (4)","Not sure","No","course plans, grades","organisation, efficiency","Quite worried (3)","Quite worried (3)","No","No"
"7","2020-05-14 17.58.45","stockholm university international and comparative education","Advanced level (Masters and Phd study)","Year 1","Female","Not at all worried (1)","A bit important (2)","Not at all important (1)","Very important (4)","Very important (4)","Quite important (3)","Very important (4)","Not important (5)","Very important (4)","Not sure","Not sure","","","Not at all worried (1)","Not at all worried (1)","Not sure","No"
"8","2020-05-17 16.40.36","Stockholm University - International and Comparative Education","Advanced level (Masters and Phd study)","Year 2","Female","Quite worried (3)","Very important (4)","Quite important (3)","Very important (4)","Quite important (3)","Very important (4)","Quite important (3)","Very important (4)","Very important (4)","Yes","Yes","news, new messages, grades, course overviews","Identifying  dropping out students, monitor how often students enter the platform, prepare any connection overload, ","Quite worried (3)","Very worried (4)","No","No"
"9","2020-06-12 15.06.11","Stockholms University","Advanced level (Masters and Phd study)","Year 4","Female","Quite worried (3)","Very important (4)","Very important (4)","Very important (4)","Very important (4)","Quite important (3)","Quite important (3)","Quite important (3)","Quite important (3)","No","No","","","Quite worried (3)","Quite worried (3)","No","Yes"
"10","2020-03-05 12.35.58","","","","","Very worried (4)","Not sure (5)","Very important (4)","Very important (4)","Very important (4)","Not sure (5)","Very important (4)","Quite important (3)","Very important (4)","Yes","","","","Not at all worried (1)","Not sure (5)","Not sure","No"
"11","2020-03-05 14.14.46","","","","","Not at all worried (1)","Quite important (3)","Quite important (3)","Quite important (3)","Very important (4)","Quite important (3)","Quite important (3)","A bit important (2)","A bit important (2)","Yes","","","","A bit worried (2)","A bit worried (2)","Not sure","Yes"
"12","2020-03-05 14.18.18","","","","","Not at all worried (1)","Quite important (3)","A bit important (2)","A bit important (2)","Very important (4)","Very important (4)","Very important (4)","Quite important (3)","Very important (4)","Yes","","","","Not at all worried (1)","Not at all worried (1)","No","No"
"13","2020-03-05 21.21.21","","","","","Quite worried (3)","Quite important (3)","Quite important (3)","Very important (4)","Very important (4)","Not sure (5)","Very important (4)","Quite important (3)","Quite important (3)","No","","","","A bit worried (2)","Quite worried (3)","No","No"
"14","2020-03-09 10.41.07","","","","","Quite worried (3)","Very important (4)","Very important (4)","Very important (4)","Quite important (3)","Quite important (3)","Very important (4)","Not sure (5)","Very important (4)","Yes","","","","A bit worried (2)","A bit worried (2)","No","Yes"
"15","2020-03-10 00.20.00","","","","","A bit worried (2)","Quite important (3)","Very important (4)","Very important (4)","Very important (4)","Not sure (5)","Quite important (3)","Not sure (5)","Quite important (3)","No","","","","A bit worried (2)","A bit worried (2)","Not sure","Not sure"
"16","2020-03-24 15.49.06","LNU","Advanced level (Masters and Phd study)","Advanced level","Female","A bit worried (2)","Not at all important (1)","Not at all important (1)","Not at all important (1)","Not at all important (1)","Not sure (5)","Not at all important (1)","A bit important (2)","Not at all important (1)","Yes","","","","Quite worried (3)","Not at all worried (1)","No","No"
