"","Time","University","Education_type","Year","Gender","Worried_DC","Ownership","Management","Privacy_Access","Privacy_Control","Bias","Trust","Autonomy","Informed.Consent","Can_you_access_data","Aware_DC_by_uni","Interesting_logs","Reasons_for_DC","Worried_Access_Uni_Data","Worried_Usage_Uni_Data","Give_consent","Read_TC"
"1","2020-04-24 16.51.03","SU","Advanced level (Masters and Phd study)","Year 1","Female",2,4,4,4,4,3,4,3,4,"Not sure","No","Course overview, grades, course schedule","",2,2,"No","No"
"2","2020-04-25 16.38.13","SU","Advanced level (Masters and Phd study)","Year 1","Female",2,3,3,4,4,5,2,3,4,"Not sure","Not sure","grades","archive files maybe",3,2,"Not sure","No"
"3","2020-04-25 18.50.58","SU","Advanced level (Masters and Phd study)","Year 1","Female",2,4,4,4,4,3,3,3,4,"Not sure","Not sure","all of the above ","both as statisctics and other things",2,2,"Not sure","No"
"4","2020-04-30 14.07.27","SU","Advanced level (Masters and Phd study)","Year 1","Male",2,4,3,4,3,2,4,4,4,"Not sure","Not sure","Grades
Personal Review","Advertisement
Safeguarding",2,2,"No","No"
"5","2020-05-14 14.08.33","SU","Advanced level (Masters and Phd study)","Year 2","Female",2,3,4,4,4,4,4,4,4,"Not sure","Not sure","Grades","Transcripts ",2,1,"Not sure","No"
"6","2020-05-14 17.27.01","SU","Advanced level (Masters and Phd study)","Year 1","Female",3,4,3,4,4,4,4,4,4,"Not sure","No","course plans, grades","organisation, efficiency",3,3,"No","No"
"7","2020-05-14 17.58.45","SU","Advanced level (Masters and Phd study)","Year 1","Female",1,2,1,4,4,3,4,5,4,"Not sure","Not sure","","",1,1,"Not sure","No"
"8","2020-05-17 16.40.36","SU","Advanced level (Masters and Phd study)","Year 2","Female",3,4,3,4,3,4,3,4,4,"Yes","Yes","news, new messages, grades, course overviews","Identifying  dropping out students, monitor how often students enter the platform, prepare any connection overload, ",3,4,"No","No"
"9","2020-06-12 15.06.11","SU","Advanced level (Masters and Phd study)","Year 4","Female",3,4,4,4,4,3,3,3,3,"No","No","","",3,3,"No","Yes"
"10","2020-03-05 12.35.58","LNU","Advanced level (Masters and Phd study)","","Prefer not to say",4,5,4,4,4,5,4,3,4,"Yes","Yes","","",1,5,"Not sure","No"
"11","2020-03-05 14.14.46","LNU","Advanced level (Masters and Phd study)","","Prefer not to say",1,3,3,3,4,3,3,2,2,"Yes","Yes","","",2,2,"Not sure","Yes"
"12","2020-03-05 14.18.18","LNU","Advanced level (Masters and Phd study)","","Prefer not to say",1,3,2,2,4,4,4,3,4,"Yes","Yes","","",1,1,"No","No"
"13","2020-03-05 21.21.21","LNU","Advanced level (Masters and Phd study)","","Prefer not to say",3,3,3,4,4,5,4,3,3,"No","No","","",2,3,"No","No"
"14","2020-03-09 10.41.07","LNU","Advanced level (Masters and Phd study)","","Prefer not to say",3,4,4,4,3,3,4,5,4,"Yes","Yes","","",2,2,"No","Yes"
"15","2020-03-10 00.20.00","LNU","Advanced level (Masters and Phd study)","","Prefer not to say",2,3,4,4,4,5,3,5,3,"No","No","","",2,2,"Not sure","Not sure"
"16","2020-03-24 15.49.06","LNU","Advanced level (Masters and Phd study)","Advanced level","Female",2,1,1,1,1,5,1,2,1,"Yes","Yes","","",3,1,"No","No"
"17","2020-03-30 17.52.36","LNU","Advanced level (Masters and Phd study)","Year 1","Female",4,3,4,4,4,3,3,3,4,"Yes","Yes","","",2,2,"Not sure","No"
"18","2020-03-31 07.13.39","LNU","Advanced level (Masters and Phd study)","Year 2","Female",3,3,3,4,4,4,4,3,3,"No","No","","",2,3,"No","Yes"
"19","2020-04-01 17.46.38","LNU","Advanced level (Masters and Phd study)","Advanced level","Female",3,3,4,4,4,5,4,4,4,"Yes","Yes","","",2,3,"Not sure","Yes"
"20","2020-04-02 10.59.47","LNU","Advanced level (Masters and Phd study)","Year 2","Female",1,2,1,2,3,3,4,2,4,"Yes","Yes","","",1,1,"Not sure","No"
"21","2020-04-02 11.22.53","LNU","Advanced level (Masters and Phd study)","Year 1","Female",2,4,4,3,3,4,4,4,4,"No","No","","",2,2,"No","No"
"22","2020-04-09 10.59.52","LNU","Advanced level (Masters and Phd study)","Advanced level","Female",4,4,4,4,4,4,4,4,4,"No","No","","",4,4,"No","Yes"
"23","2020-04-13 14.17.29","LNU","Undergraduate level","Year 2","Female",3,3,4,3,4,3,4,5,3,"No","No","","",2,2,"Not sure","Yes"
